計畫名稱,關鍵字 號碼,關鍵字,綱要名稱,綱要名稱(關鍵字),中文摘要,中文摘要(關鍵字)
因應氣候變遷強化草食及水生動物人畜共通傳染病診治訓?計畫,"[155, 329, 623, 628]","水生動物, 住院醫師, 草食動物, 訓練計畫",重大人畜共通傳染病,重大人畜共通傳染病,本試驗目的乃訓練草食動物住院醫師以提供產業初步的服務；另外，本計畫訓練內容施行後，可以加強草食動物獸醫師了解因應氣候變遷下，乳牛各階段成長之生理表現、正確飼養管理方法與各樣疾病之關係，提升現場乳牛疾病的各項診治能力。除此之外，並可強化現場獸醫師對於草食動物及水生動物於人畜共通傳染病防治之技術與觀念。,"乳牛, 疾病, 生理, 目的, 方法, 能力, 管理"
氣候變遷對太平洋長鰭鮪資源及漁場影響之研究,"[133, 464, 576, 1154]","太平洋, 長鰭鮪, 氣候變遷, 鮪漁場學",漁業,漁業,本研究擬分析氣候變遷造成鮪漁況與資源量的變動的影響，探討其機制及未來潛在的危機與轉機，擬完成:(1)太平洋海域的長鰭鮪漁場環境特性及環境變異分析；(2)藉鮪釣作業紀錄及水文資料庫分析太平洋長鰭鮪之漁場特性；(3)太平洋長鰭鮪資源與漁況變動受環境變遷或變異影響機制之究明。,"漁況, 分析, 特性, 水文, 海域, 研究"
氣候變遷對大西洋長鰭鮪漁況影響之研究暨印度洋研究報告之彙整分析,"[273, 464, 842, 1154]","印度洋, 長鰭鮪, 黃鰭鮪, 鮪漁場學",漁業,漁業,(1) 衛星遙測等海洋環境資料解析大西洋海洋環境的變異特性(2) 大西洋長鰭鮪漁獲量變動與海洋環境變異的關係 (3) 分析大西洋長鰭鮪分布與漁況受到氣候變異變動特性(4) 匯整其它洋區之研究結果，評估氣候變遷對長鰭鮪照成的可能衝擊(1) 大西洋海域鮪漁場衛星遙測資料海洋環境資料庫之建立(2) 海洋環境變動對大西洋長鰭鮪分布與漁況變動之關係解析(3) 評估未來氣候變遷情境對鮪類資源與漁業的可能衝擊,"漁況, 解析, 特性, 匯整, 洋區, 情境, 海域, 分析"
澎湖海域海草（床）生態調查及與漁業資源保育相關性研究(II),"[271, 576, 588]","共棲生物相, 氣候變遷, 海草",漁業,漁業,針對澎湖內海海草床仔稚魚進行群聚分析及澎湖離島地區海草分布調查，以掌握澎湖離島地區海草之種類、分佈區域及族群密度，並建立澎湖海草床生物多樣性資料。,"海草, 床仔, 族群, 密度, 分析"
氣候變遷對坡地防災規劃之影響評估計畫,"[88, 374, 576, 682]","土石流, 災害潛勢, 氣候變遷, 崩塌",坡地防災與生態系復育,"坡地防災, 生態系, 復育",目前氣候變遷相關的研究均指出，未來極端降雨事件發生頻率的增加趨勢已日益顯著。而在氣候變遷對未來坡地災害的影響方面，除與極端降雨事件發生頻率有關外，亦與人口及經濟發展極為相關。因此在評估氣候變遷對坡地災害發生潛勢的影響時，除未來降雨的評估外，尚需結合區內人口或經濟發展的相關資訊，才能藉此提供較完整的防災規劃策略。爰此，本研究選定高屏溪及陳有蘭溪流域為研究區域，透過水文、地文及保全對象資料的蒐集與地表覆蓋的判釋，建立崩塌及土石流發生潛勢影響評估模式。然後，配合未來情境的資料，進行氣候變遷對高屏溪及陳有蘭溪流域未來崩塌及土石流等坡地災害發生潛勢的影響評估，並據此提出因應的調適策略予未來防災規劃研擬或調整之參考。,"坡地, 流域, 研究, 地文, 蒐集, 事件, 人口, 情境, 降雨, 尚需"
因應氣候變遷重點集水區保育策略之研究(1/2),"[478, 529, 576]","保育策略, 重點集水區, 氣候變遷",坡地防災與生態系復育,"坡地防災, 生態系, 復育",氣候變遷衝擊著台灣的水土資源，極端氣候對台灣坡地環境已造成崩塌、侵蝕、土石流、淹水、農業減產、與生態多樣性降低等問題。政府對坡地水土資源保育利用面臨著極大之挑戰，需提出因應氣候變遷的水土保持調適政策與措施，俾助於水土資源保育效益。在妥適籌劃水土保持調適策略前， 需針對坡地生態環境現況與因應氣候變遷所需之調適有所瞭解，辨識因氣候變遷所產生之主要擾動型態與區位，以評估氣候變遷對台灣坡地環境之影響，據以調整坡地水土保持經營之策略。本研究以台灣坡地集水區之生態環境與氣候變遷基本資料，建立量化分析方法及評估指標，並實務應用於氣候變遷對坡地環境之評估。本年度計畫主要蒐集臺灣地區受氣候變遷嚴重影響區位之環境屬性資料，選取個案進行調查研究，分析山坡地易致災區及研發致災因子評估模式與影響範圍劃定方式。,"坡地, 蒐集, 分析方法"
氣候變遷下廣泛分布樹種之區內外保存(2/4),"[576, 593, 678, 984, 1034, 1138, 1200]","氣候變遷, 烏心石, 培育苗木, 種子採集和發芽, 樟樹, 穗條嫁接, 櫸樹",森林及生物多樣性,"生物多樣性, 森林",氣候變遷將大大地影響森林組成和遺傳資源。一個族群有能力適應不同的環境需依賴此族群遺傳變異大小，樹種分布愈廣，遺傳變異愈大，其適應環境的潛能愈強。建立少數幾種廣泛分布且具經濟價值的樹種，研究分析不同種源間對環境的適應能力，包括能忍受極端的氣候如高溫和乾旱，昆蟲或病菌的侵襲等是需要的。樹種更新需要種子，解除種子休眠和促進發芽，溫度是扮演一個重要的角色，如溫度增加會影響種子的發芽。本計畫目的擬選擇台灣廣泛分布之經濟樹種，如烏心石、櫸樹和樟樹等，進行精英樹種分布調查，採穗嫁接，採種和種子發芽，培育苗木和不同海拔栽種之適應性研究。,"族群, 病菌, 精英, 研究, 角色, 森林, 海拔, 目的, 能力, 分析"
森林生態系對氣候變遷之反應–於森林動態樣區建立監測系統(3/3),"[441, 576, 772, 1084]","物候, 氣候變遷, 森林動態, 樹木生長環",森林及生物多樣性,"生物多樣性, 森林",本研究以林試所設置於福山、蓮華池及恆春的3個森林動態樣區及福山、墾丁植物園為基地，建立森林動態監測系統，用以評估氣候變遷對台灣森林動態所造成的影響。本研究之主要研究項目如下：＜?1. 林木生長速率監測：採用樹木生長環(dendroband)監測各功能群主要組成樹種之徑級生長動態。2. 林木物候變化監測：定期進行植物物候調查，並比較樣區間之共同種在不同地區的物候時序差異，預期可建置一長期性森林物候監測資料庫。3. 氣象資料蒐集：分析環境因子與森林動態變化間之相關性。,"物候, 研究, 林試, 蒐集, 速率, 定期"
節能減碳研究團隊─因應氣候變化之永續森林經營策略分析(1/4),"[215, 576, 780]","永續森林經營, 氣候變遷, 森林認證",森林及生物多樣性,"生物多樣性, 森林",國內外歷年相關生態服務實證分析，依其研究主題、研究方法(模型)、研究區域、研究結果等，建構資料庫，提供後續研究結果之比較研究。建構台灣森林永續經營模式。,"研究, 模型, 森林, 模式, 方法, 分析"
氣候變遷對於蕨類物候之影響(2/5),"[441, 576, 1100]","物候, 氣候變遷, 蕨類",森林及生物多樣性,"生物多樣性, 森林",1.瞭解宜蘭福山、南投蓮華池及台東太麻里地區7種450株蕨類之物候現象。2.瞭解各生育地之降水量、氣溫及濕度等環境資料。3.瞭解氣候變化對蕨類物候之影響。,"物候, 太麻, 濕度, 生育, 降水量"
探討環境變遷對台灣濕地生態系影響之研究,"[165, 202, 229, 414, 434, 507, 576, 795, 975, 976, 1002, 1036, 1091, 1115, 1197]","水鳥, 台灣招潮蟹, 生物多樣性, 底棲微藻, 河川棲地模式, 紅樹林, 氣候變遷, 植群, 碳吸存, 碳吸收, 綜合適合度指數, 模式評估, 澤蟹屬, 濕地, 藻礁",森林及生物多樣性,"生物多樣性, 森林",近年在全球暖化及氣候變遷下在高山內陸湖沼、溪流及沿海環境等生態系造成程度不一的影響。本研究將先針對上述生態系中建立水生植物、溪流魚類、藻礁、底棲藻類、水鳥、紅樹林及臺灣招潮蟹等基礎資料，評估環境變遷之影響程度。研究成果應有助於採取合宜保育措施來因應未來氣候變遷對生態系的衝擊。,"溪流, 程度, 湖沼, 措施, 研究"
環境變遷對台灣高山生態系影響之研究(1/2),"[106, 203, 438, 695, 970, 1061]","大蚊科, 台灣高山杜鵑, 爬蟲類, 族群動態, 監測, 蝶類群聚",森林及生物多樣性,"生物多樣性, 森林",針對環境變化與生物多樣性之關係、生物多樣性之調查與監測及試驗站經營管理等方向加以探討環境變遷對於合歡山地區蝶類群聚之影響?為瞭解環境變遷對於台灣高海拔山區蝶類群聚之影響，選擇合歡山區調查蝶類組成結構，建立蝶類與環境因子之基本資料並探討其間關係，期能作為監測環境變遷之參考。??? 了解爬蟲類動物與環境間之相互關係，並促進本中心試驗站之經營管理，本計畫將對本中心設於合歡山之高海拔試驗站區域之爬蟲類進行長期監測，以期建立高海拔試驗站區內的爬蟲相並監控其變化情形。??? 針對台灣高海拔地區箭竹生態系之雙翅目大蚊科加以探討。先調查高海拔地區之大蚊科種類，並建立物種名錄及DNA分子序列。再探討大蚊隨海拔及季節之族群消長現象，以期建立高海拔地區大蚊科之群聚資料，並監測環境變化之影響。,"海拔, 期能, 族群, 箭竹, 中心, 管理, 序列"
生物資源災損評估及預警之研究（2/3）,"[131, 229, 269, 408]","天然災害, 生物多樣性, 全球暖化, 受害評估",森林及生物多樣性,"生物多樣性, 森林","台灣地區近年來因全球暖化導致之極端氣候，時有颱風、豪雨、地震等天災，每每造成土石崩塌及棲地破壞，對生物資源產生影響及損害，惟至今國內尚無一套有系統的針對生物資源之災損評估及預警。為落實生物資源監測，本計畫擬根據現有之物種調查資料，結合各項環境因子資料，選用最大亂度法（Maximum Entropy, MAXENT），進行物種分布預測，並運用統計分析結合地理資訊系統，建立一套針對生物資源之災損評估及預警之方法，以完成嚴重瀕臨絕滅(Critically Endangered, CR)、瀕臨絕滅 (Endangered, EN)及易受害 (Vulnerable, VU)3個等級50種野生維管束植物對於山崩及土石流等天然災害之易受害潛勢評估。","豪雨, 亂度, 土石, 山崩, 地震, 植物, 方法"
建立氣候變遷對生物多樣性風險與脆弱度評估模式及因應策略規劃,"[229, 576, 821]","生物多樣性, 氣候變遷, 策略規劃",森林及生物多樣性,"生物多樣性, 森林",建議良好「生物多樣性因應氣候變遷調適」研究團隊，可以提供關於生物多樣性因應氣候變遷調適的良好策略，做為政策擬定之參考。建立關於基因多樣性、物種多樣性、生態系多樣性受氣候變遷影響之案例分析，提供政策研擬之參考。彙整國內生物多樣性資料庫，並配合未來情境氣候資料，找出易受氣候變遷影響之物種或族群，並評估其脆弱度與滅絕風險，提供政策研擬之參考。針對「臺灣氣候變遷未來情境」，評估北、中、南、東各區域，評估該區生態系在該情境下，氣溫上升與降雨型態改變、極端天氣事件發生的強度與頻率升高、海平面上升等情境下，各區域之各類生態系之短、中、長期衝擊與影響程度，提供政策研擬之參考。系統化評析與確認北、中、南、東各區域生物多樣性之脆弱度與風險，並查明生物多樣性對調節氣候、災害防救、提供生態服務對人民生計的貢獻，提供政策研擬之參考。規劃我國生物多樣性因應氣候變遷調適策略與工作項目，提供政策制訂之參考。,"情境, 政策, 族群, 案例, 基因"
